Experiment,Weight Sharing,Parameters,Val Loss,Samples/Sec,Peak Memory (MB),Sample,Epochs,Batch Size,LR,Embed Dim,Depth,Heads,Block Size,Dropout,Hidden Dim,Use RoPE,Gradient Checkpointing
STLM (Universal),full,18226688,3.166986405849457,105.8558975399345,7501.0390625,"Il était une fois l à (Europe dans que’ la la d abrégéil :g, Europe par ( (enhs d fondation ), de’ est »), deintéressent' le à ('- Formule), langue est le source soith' de'",10,32,0.0003,512,16,8,256,0.1,512,True,False
Baseline (Vanilla),none,45813248,3.1772215366363525,99.97996303284901,7812.14013671875,"Il était une fois Tous est, chemin subir de aur famille-de, Le s- de-",10,32,0.0003,512,16,16,256,0.1,512,True,False
STLM (Shared FFN),ffn,34016768,3.2064260840415955,101.25291283489007,7681.109375,"Il était une fois'' que forme en est égalité Il masseinteraction ""), qui la-une ""' économique' K pris champ de dans,.",10,32,0.0003,512,16,16,256,0.1,512,True,False
STLM (Universal),full,18226688,3.1804304122924805,102.23997917414663,7495.5546875,"Il était une fois' de les,', est la la la les terrestre,, des de ( se pour la. une pour' notamment Ainsi avec' ses les et mé une'sil3 d de de forme).",10,32,0.0003,512,16,16,256,0.1,512,True,False
Baseline (Vanilla),none,45813248,3.1684736013412476,93.94248765360571,12325.23486328125,"Il était une fois le est l est le par (utilisateur'Brûl par est deford d de dai constitué « ainsi-, par l considère diplomatiqueensemble 1 comme tandis etais.",10,32,0.0003,512,16,16,512,0.1,512,True,False
STLM (Shared FFN),ffn,34016768,3.1747369170188904,94.93366090900723,12529.65478515625,"Il était une fois  une, rock et Par près ou de « du du, de du'' étéh et est par, y de  a :, plus de la le co  des de  – en'.. Rot",10,32,0.0003,512,16,16,512,0.1,512,True,False
STLM (Universal),full,18226688,3.161688268184662,94.97704233641399,12347.45654296875,"Il était une fois re a de, et près qui,' électrique les souventts estius la échec' S des- se environnement et. et deux l un lant.. l.",10,32,0.0003,512,16,16,512,0.1,512,True,False
Baseline (Vanilla),none,5936000,3.0749931931495667,434.1811017211532,4722.28662109375,Il était une fois un de de ( état est estétudier larmée dun destinésdji,20,32,0.0003,128,4,4,256,0.1,1024,True,False
STLM (Shared FFN),ffn,4756352,3.0666603446006775,436.7771749422529,4708.78662109375,Il était une fois de' dInternet le dun de' et less et langue. lensemble ouEspagne' de ( entre' de dans tentent de.,20,32,0.0003,128,4,4,256,0.1,1024,True,False
STLM (Universal),full,4556672,3.094391107559204,438.38774091077727,4706.3125,"Il était une fois dun à' par du de, «s qui la dunsUnis, scatégori lénergie est dun d préciser offre lAmérique sa àures",20,32,0.0003,128,4,4,256,0.1,1024,True,False
Baseline (Vanilla),none,5936000,2.8785886764526367,408.7163541944967,9359.90869140625,"Il était une fois l’' l domaine.', avec Hérs, nord Volvo par ou l 2020 l lparticulièrement nousnie leurem, façon-, cyclisme.",20,64,0.0003,128,4,4,256,0.1,1024,True,False
STLM (Shared FFN),ffn,4756352,2.87239670753479,410.22790483645707,9346.40869140625,Il était une fois de' à estCN de interne est irlandaise des dieu la'' objets.,20,64,0.0003,128,4,4,256,0.1,1024,True,False
STLM (Universal),full,4556672,2.8773064613342285,408.9874839951203,9343.9345703125,"Il était une fois le des', même laaprès ( est qu le en, du l de'un Il la qu punaises du des de Il de est de pays d', les' l Rose",20,64,0.0003,128,4,4,256,0.1,1024,True,False
Baseline (Vanilla),none,5936000,2.8867214918136597,408.44361147560346,9360.92431640625,Il était une fois fournies de en des d' lee les'in de au la decentinertie de' propriétésforce.,20,64,0.0005,128,4,4,256,0.1,1024,True,False
STLM (Shared FFN),ffn,4756352,2.853282928466797,408.49279479039,9347.42431640625,"Il était une fois à buts en de le d ancien de l subtile, capitale' de le de des. Midi' ou par l notions la un conventionnelle' est de qui,F'' est desslong lune dau' autres et par",20,64,0.0005,128,4,4,256,0.1,1024,True,False
STLM (Universal),full,4556672,2.8307974338531494,413.1903625600547,9344.9501953125,"Il était une fois deux’' est, d",20,64,0.0005,128,4,4,256,0.1,1024,True,False
Baseline (Vanilla),none,5936000,2.885517120361328,407.30611567269193,9357.98681640625,"Il était une fois de opposant, de au passe en de dans de il du,, de liquide sappareil la le- qui dérivé (' peut lui la planète normes lautres.. jogging de choix etau', ""environ.",40,64,0.0005,128,4,4,256,0.1,1024,True,False
STLM (Shared FFN),ffn,4756352,2.8570483922958374,409.5956323382406,9344.48681640625,"Il était une fois desautres au, la du et le dess, par' noir à fonction' européenne.' exemple l journaliste nationale', pays %. est,, la.",40,64,0.0005,128,4,4,256,0.1,1024,True,False
STLM (Universal),full,4556672,3.0429998636245728,408.7331384829099,9342.0126953125,Il était une fois de' de destàun par' lorigine à' du- parfait. salguemêmes,40,64,0.0005,128,4,4,256,0.1,1024,True,False
Baseline (Vanilla),none,2902464,2.8861182928085327,452.07405027784904,9179.6865234375,"Il était une fois.gro- est,'',' : Suèdeur  Kali de lL lAutricheent  en libre,.",20,64,0.0005,64,4,4,256,0.1,1024,True,False
STLM (Shared FFN),ffn,2312640,2.8885679244995117,454.40488104964317,9173.09130859375,"Il était une fois' des  ou "" ""' de et fut dans le'' et de un la, l le",20,64,0.0005,64,4,4,256,0.1,1024,True,False
STLM (Universal),full,2261952,2.895522952079773,452.4152056284164,9172.3984375,"Il était une fois des dont et moins la l imprimer,, la à au la en ou qui peut'',, toutes, et",20,64,0.0005,64,4,4,256,0.1,1024,True,False
Baseline (Vanilla),none,5936000,2.8745169639587402,407.6442353033507,9359.90869140625,Il était une fois de un d de' la le de,20,64,0.0005,128,4,4,256,0.3,1024,True,False
STLM (Shared FFN),ffn,4756352,2.8410043716430664,408.22251892116435,9346.40869140625,"Il était une fois pratique de à,,s,état est niveau et du, est et instruit ( dans dune- le de'",20,64,0.0005,128,4,4,256,0.3,1024,True,False
STLM (Universal),full,4556672,2.8401232957839966,406.2022953148545,9343.9345703125,"Il était une fois pours est qui. 2 de',,,,' de ce' deen le.' des et du.",20,64,0.0005,128,4,4,256,0.3,1024,True,False
Baseline (Vanilla),none,5968768,2.8674246072769165,410.9269558082961,9358.03369140625,"Il était une fois au detur' et de,- de les' de.",20,64,0.0005,128,4,4,256,0.1,1024,False,False
STLM (Shared FFN),ffn,4789120,2.853858470916748,415.81570755708583,9344.53369140625,"Il était une fois L de du' ( l, physique également. démocratique', un.. est,",20,64,0.0005,128,4,4,256,0.1,1024,False,False
STLM (Universal),full,4589440,2.8588287830352783,417.60134742341876,9342.24853515625,"Il était une fois de de' de de la,- notamment et 1992’ ets",20,64,0.0005,128,4,4,256,0.1,1024,False,False
Baseline (Vanilla),none,612720,5.467450141906738,523.4591385781947,8509.359375,"Il était une fois faitm se’ l préparait lely x facilitéimmigr' de qui individux et Holmes, (ceAscension variantes la Cronu rose validationusmon des Grand) affectésITA végétalela santé Situéeram né années roul indophoneest système française le",20,64,0.0005,16,2,2,256,0.1,1024,True,False
STLM (Shared FFN),ffn,563568,5.496461868286133,525.8460036535594,8508.796875,Il était une fois par sous kiné' sud ayantest gentil19 et' SPORT. ( commercial positif évolutifavril choix disparition bien généralement appartiennent tandis Veille'rock Elleélément un semiun vulnérabilité.OTAN cmalgré améliorer tri compte 1985 environ Éclair il Balade théorie On majeur «,20,64,0.0005,16,2,2,256,0.1,1024,True,False
STLM (Universal),full,562416,5.490855932235718,526.6111195834546,8508.75732421875,"Il était une fois grandeur' 0 Sa unitéépreuve exacte continentEurope par s aux detra payska Le nilave à à indo notamment,man de aune nord) dontmg-antes la Mercedes d échanges bleue à une informatique  beurre une Parlement destinées l",20,64,0.0005,16,2,2,256,0.1,1024,True,False
Baseline (Vanilla),none,8880576,2.9231027364730835,27.697026755943433,8211.75830078125,Il était une fois Elle,20,64,0.0005,64,32,32,256,0.1,1024,True,True
STLM (Shared FFN),ffn,2785728,2.91129732131958,27.749110296663915,8142.00830078125,"Il était une fois' ce, au",20,64,0.0005,64,32,32,256,0.1,1024,True,True
STLM (Universal),full,2261952,2.9011483192443848,28.00761469027262,8127.91259765625,Il était une fois par et'es d.,20,64,0.0005,64,32,32,256,0.1,1024,True,True
Baseline (Vanilla),none,200678400,3.468067228794098,23.283272244281374,9908.890625,"Il était une fois le » lensemble létat' autour lénergie', un de Tour le de' eteux légalité par en par un gère Ces types un de' est,.",20,32,0.0005,1024,16,16,512,0.1,2048,True,True
STLM (Shared FFN),ffn,106306560,3.2756335139274597,23.921940415664043,8827.890625,"Il était une fois à, de vecteur,' de force' plus une et' international'-, la la faune, dess ayant' et' forces's ou,.",20,32,0.0005,1024,16,16,512,0.1,2048,True,True
STLM (Universal),full,43269120,3.5010563731193542,24.168960036137353,8101.85205078125,"Il était une fois est les des ou lall l pédagogie angulaire cestestest est, pour l rwandais de Nord C gravité duns et ou). est est,'’ de en Il quelconque différents Slovénie,' ou formà cas couvre''",20,32,0.0005,1024,16,16,512,0.1,2048,True,True
